iter	RMSE
0	532.9383659
1	526.8739926
2	520.9742087
3	515.2719049
4	509.6006351
5	503.8960165
6	498.655953
7	493.3477254
8	488.2702015
9	483.0934017
10	478.2738681
11	473.4041523
12	468.7260244
13	464.1878564
14	459.5801753
15	455.1657023
16	450.9154221
17	446.8178068
18	442.8934235
19	438.9685835
20	435.0087341
21	431.2685143
22	427.5755486
23	423.9085591
24	420.4799648
25	416.9659367
26	413.6714525
27	410.5201738
28	407.3333459
29	404.2319147
30	401.1634175
31	398.1784259
32	395.3298575
33	392.5293268
34	389.6996352
35	387.0165252
36	384.4620208
37	381.8667516
38	379.3844025
39	376.8828579
40	374.5435126
41	372.2604721
42	369.9899541
43	367.7047599
44	365.5585841
45	363.4650012
46	361.4235017
47	359.3533429
48	357.4482405
49	355.442873
50	353.5050245
51	351.573151
52	349.8049277
53	348.0763376
54	346.3383626
55	344.6939237
56	343.0770243
57	341.5284791
58	339.8771644
59	338.3373834
60	336.7904157
61	335.3463936
62	333.9327672
63	332.6897268
64	331.4378435
65	330.1330432
66	328.8945123
67	327.5907165
68	326.4059761
69	325.1705662
70	323.984669
71	322.888291
72	321.7323625
73	320.6185591
74	319.5416781
75	318.432578
76	317.4015336
77	316.4030932
78	315.4170451
79	314.5051092
80	313.5587952
81	312.6211362
82	311.7504231
83	310.7650708
84	309.8845562
85	308.972693
86	308.1248332
87	307.2449206
88	306.5041693
89	305.7669403
90	305.025931
91	304.3188277
92	303.4760672
93	302.6658736
94	301.9032792
95	301.1876041
96	300.4665612
97	299.7496093
98	298.9931696
99	298.3748417
100	297.7522111
101	297.1788094
102	296.477083
103	295.9191626
104	295.3633794
105	294.7784716
106	294.2128814
107	293.5988312
108	293.0949144
109	292.5350993
110	291.9786816
111	291.4143156
112	290.8958359
113	290.4048141
114	289.898249
115	289.3706661
116	288.8833071
117	288.4511294
118	287.9778718
119	287.563188
120	287.1278138
121	286.6905467
122	286.2396131
123	285.8119089
124	285.3645026
125	284.9597909
126	284.590085
127	284.1585253
128	283.7980621
129	283.4122083
130	283.0633504
131	282.6765586
132	282.3147131
133	281.9536542
134	281.6204902
135	281.2540376
136	280.9345722
137	280.5768063
138	280.2127866
139	279.924623
140	279.6404574
141	279.3194243
142	279.004618
143	278.7249736
144	278.409786
145	278.1105606
146	277.819761
147	277.507547
148	277.2184983
149	276.9438976
150	276.6754134
151	276.4090618
152	276.1398843
153	275.8706356
154	275.6211304
155	275.3912225
156	275.1549999
157	274.9220171
158	274.6973576
159	274.4428155
160	274.2108781
161	273.9903181
162	273.7689974
163	273.5489165
164	273.3647889
165	273.1442175
166	272.9268809
167	272.7103047
168	272.5107485
169	272.2726826
170	272.0724805
171	271.8842866
172	271.6812037
173	271.5034762
174	271.2804305
175	271.0951291
176	270.9105752
177	270.709266
178	270.5282417
179	270.3853428
180	270.2182055
181	270.0480455
182	269.8739399
183	269.7125043
184	269.5484446
185	269.4010702
186	269.2081269
187	269.0419803
188	268.8883308
189	268.7303956
190	268.5593726
191	268.4145293
192	268.2703386
193	268.1343892
194	267.9739327
195	267.7892138
196	267.6546109
197	267.4939913
198	267.3545597
199	267.2251823
200	267.0926373
201	266.9621149
202	266.842251
203	266.7261615
204	266.6163201
205	266.4900543
206	266.3612067
207	266.2167284
208	266.0791448
209	265.9515236
210	265.8176573
211	265.697764
212	265.5910275
213	265.4790598
214	265.3703994
215	265.2684993
216	265.1530879
217	265.0511602
218	264.9467303
219	264.8429944
220	264.7176116
221	264.6099186
222	264.4999059
223	264.3918643
224	264.2796538
225	264.1788675
226	264.0840333
227	263.9747574
228	263.8659616
229	263.7682135
230	263.6649556
231	263.5808387
232	263.4844899
233	263.3887771
234	263.2822791
235	263.1812048
236	263.0994753
237	263.022295
238	262.9213572
239	262.8202748
240	262.7294827
241	262.6339765
242	262.5542255
243	262.4462179
244	262.3498199
245	262.268752
246	262.1782414
247	262.121636
248	262.0551519
249	262.0514262
250	261.9832413
251	261.9007726
252	261.8284145
253	261.7605024
254	261.6750081
255	261.5999444
256	261.5197053
257	261.4392605
258	261.3972882
259	261.3493029
260	261.2801795
261	261.2283699
262	261.1484336
263	261.0835762
264	261.0202411
265	260.9256208
266	260.8560599
267	260.7664191
268	260.7102799
269	260.6455829
270	260.5849937
271	260.5184047
272	260.4687606
273	260.4043802
274	260.3096653
275	260.2494922
276	260.1923365
277	260.1063427
278	260.0471363
279	259.9774355
280	259.9204699
281	259.8830787
282	259.8091496
283	259.740034
284	259.6853604
285	259.6336375
286	259.5904501
287	259.5283208
288	259.4795924
289	259.4293012
290	259.358705
291	259.3070511
292	259.270107
293	259.2260152
294	259.1889394
295	259.1301576
296	259.0817177
297	259.0458878
298	259.0233597
299	258.9618063
300	258.9288193
301	258.877255
302	258.8222757
303	258.7575745
304	258.7290987
305	258.6812652
306	258.6519963
307	258.5921315
308	258.5392392
309	258.4823284
310	258.4233158
311	258.4207828
312	258.3843412
313	258.3319946
314	258.3288589
315	258.2578609
316	258.2331706
317	258.1732425
318	258.1245609
319	258.0765348
320	258.0639364
321	258.0236305
322	257.9610135
323	257.9103528
324	257.8706741
325	257.8331847
326	257.8039308
327	257.7406816
328	257.6924993
329	257.6558867
330	257.5932564
331	257.5539129
332	257.5141383
333	257.4693956
334	257.4362026
335	257.3787282
336	257.3369233
337	257.3049181
338	257.2576124
339	257.2111506
340	257.1563496
341	257.101777
342	257.0557934
343	257.0256692
344	256.9839801
345	256.9368191
346	256.9115003
347	256.8673845
348	256.840285
349	256.7955573
350	256.7934074
351	256.7826339
352	256.7399096
353	256.7012676
354	256.665644
355	256.6311786
356	256.5886004
357	256.5362855
358	256.4731974
359	256.4430918
360	256.4115516
361	256.3846086
362	256.3521832
363	256.3186796
364	256.286674
365	256.2407672
366	256.2061097
367	256.1574299
368	256.1308669
369	256.0995452
370	256.0816238
371	256.0466649
372	256.0155521
373	255.9728229
374	255.9410666
375	255.9091284
376	255.8845993
377	255.8533634
378	255.8157756
379	255.7881742
380	255.728824
381	255.6979167
382	255.6506217
383	255.6316056
384	255.5906598
385	255.5526741
386	255.5273103
387	255.4963152
388	255.4647254
389	255.4329494
390	255.4046594
391	255.3693767
392	255.3413639
393	255.3150575
394	255.2845257
395	255.2473647
396	255.2134537
397	255.189634
398	255.1548939
399	255.1187337
400	255.0749031
401	255.0393368
402	254.9973721
403	254.9693101
404	254.920878
405	254.8915006
406	254.8684868
407	254.8498947
408	254.8050468
409	254.7781429
410	254.7393886
411	254.7090282
412	254.6795371
413	254.6525516
414	254.6126873
415	254.5859929
416	254.5636954
417	254.5512108
418	254.5220901
419	254.4882652
420	254.4638358
421	254.4209379
422	254.3806633
423	254.3398664
424	254.3098392
425	254.2844395
426	254.246233
427	254.2202572
428	254.1835972
429	254.146632
430	254.1139927
431	254.0909706
432	254.0547136
433	254.0317526
434	254.0064463
435	253.9864971
436	253.966747
437	253.9457337
438	253.9014351
439	253.8644615
440	253.8284333
441	253.7941643
442	253.7659166
443	253.74291
444	253.7199845
445	253.6955286
446	253.6773267
447	253.6582441
448	253.637141
449	253.6251141
450	253.6011329
451	253.567642
452	253.5437557
453	253.5210147
454	253.4967223
455	253.4676192
456	253.4325917
457	253.4119073
458	253.3801132
459	253.3541303
460	253.3345834
461	253.3081105
462	253.2839996
463	253.2578545
464	253.2372055
465	253.2082065
466	253.1918448
467	253.1778222
468	253.148907
469	253.1265471
470	253.1073822
471	253.0931659
472	253.0763922
473	253.0426618
474	253.0228637
475	253.0056386
476	252.9831498
477	252.9612434
478	252.9355865
479	252.9045145
480	252.8907575
481	252.863815
482	252.8324246
483	252.7954235
484	252.7676082
485	252.7505777
486	252.7344438
487	252.7093661
488	252.6847504
489	252.663933
490	252.6406353
491	252.6226091
492	252.5997913
493	252.5787752
494	252.5599999
495	252.5308145
496	252.5070344
497	252.4838666
498	252.4623395
499	252.4422089
500	252.4207382
501	252.3987892
502	252.3730872
503	252.3462844
504	252.3244316
505	252.3040513
506	252.2819805
507	252.2613636
508	252.2408335
509	252.2156729
510	252.1885901
511	252.1708846
512	252.1504864
513	252.1249968
514	252.1027959
515	252.0838743
516	252.0565832
517	252.0316833
518	252.0054068
519	251.9827254
520	251.9676537
521	251.9441016
522	251.9165326
523	251.8964309
524	251.8821314
525	251.863165
526	251.8345782
527	251.8137869
528	251.7924552
529	251.7627834
530	251.7379578
531	251.7154024
532	251.6991395
533	251.6683103
534	251.6490566
535	251.6307014
536	251.6067168
537	251.5913066
538	251.5694205
539	251.551467
540	251.5233441
541	251.508217
542	251.4775373
543	251.4464589
544	251.4289192
545	251.4049167
546	251.3827484
547	251.3529272
548	251.331442
549	251.308256
550	251.2820301
551	251.2681638
552	251.2420362
553	251.2122597
554	251.1953386
555	251.1763678
556	251.1558529
557	251.1338661
558	251.1146707
559	251.0943251
560	251.0730182
561	251.0476153
562	251.0244098
563	251.0047686
564	250.9902687
565	250.9684047
566	250.947954
567	250.9330432
568	250.9154859
569	250.8930111
570	250.8752294
571	250.8581465
572	250.8423919
573	250.8202317
574	250.7970034
575	250.772355
576	250.7602877
577	250.7379698
578	250.7153099
579	250.7027591
580	250.6743433
581	250.6577871
582	250.6384179
583	250.6175148
584	250.5880052
585	250.5622634
586	250.5418639
587	250.5245263
588	250.4974428
589	250.4817212
590	250.4663735
591	250.4406771
592	250.4171413
593	250.3954046
594	250.3662034
595	250.3478621
596	250.3298817
597	250.3130138
598	250.2959312
599	250.2752397
600	250.2590717
601	250.2381671
602	250.2200168
603	250.2033485
604	250.1868797
605	250.1616906
606	250.1416474
607	250.1243685
608	250.1030259
609	250.0836704
610	250.0682996
611	250.046506
612	250.0236573
613	250.0129303
614	250.000799
615	249.9788531
616	249.9552776
617	249.9291446
618	249.9142379
619	249.8929118
620	249.8661036
621	249.8469754
622	249.8312694
623	249.8169702
624	249.8046663
625	249.7936658
626	249.7753181
627	249.7480471
628	249.7322362
629	249.7092166
630	249.6866009
631	249.6625972
632	249.6482383
633	249.6334352
634	249.61119
635	249.5938297
636	249.5811653
637	249.5654695
638	249.5468141
639	249.5255783
640	249.5044857
641	249.4821161
642	249.4621078
643	249.4388362
644	249.4182008
645	249.4008584
646	249.3851812
647	249.3689515
648	249.3504458
649	249.3346959
650	249.3227002
651	249.3034239
652	249.285415
653	249.2636449
654	249.2442891
655	249.231817
656	249.2179622
657	249.2018128
658	249.1843533
659	249.1709184
660	249.1517511
661	249.1308098
662	249.1168062
663	249.0963239
664	249.0751699
665	249.0565148
666	249.0309463
667	249.0120166
668	248.9917464
669	248.9727453
670	248.9557088
671	248.9405685
672	248.920643
673	248.9064072
674	248.8881784
675	248.8653991
676	248.8490676
677	248.828127
678	248.8144383
679	248.7977155
680	248.7834956
681	248.7720747
682	248.7509546
683	248.7379608
684	248.7182342
685	248.7008373
686	248.67909
687	248.6622022
688	248.6435265
689	248.6234352
690	248.6060867
691	248.5924789
692	248.5778313
693	248.5622325
694	248.552183
695	248.533861
696	248.5198036
697	248.5046348
698	248.4903593
699	248.4766586
700	248.4591139
701	248.4436021
702	248.4189482
703	248.4066378
704	248.3916881
705	248.3732811
706	248.3523156
707	248.3354753
708	248.3196507
709	248.2967713
710	248.2741445
711	248.2515978
712	248.2371199
713	248.214642
714	248.1991486
715	248.182042
716	248.1627481
717	248.1437568
718	248.127321
719	248.1080004
720	248.0906369
721	248.0757206
722	248.0617158
723	248.0414369
724	248.0276991
725	248.0111948
726	247.9953249
727	247.9792077
728	247.9611583
729	247.9415297
730	247.9182755
731	247.9017646
732	247.8899264
733	247.8707971
734	247.8592891
735	247.8430521
736	247.8230385
737	247.8065989
738	247.7894371
739	247.771199
740	247.751069
741	247.7351116
742	247.7236699
743	247.7095204
744	247.6905092
745	247.671752
746	247.658383
747	247.6394885
748	247.6266208
749	247.615554
750	247.5940904
751	247.5795018
752	247.5652151
753	247.5502018
754	247.5310002
755	247.5101474
756	247.4936176
757	247.4800309
758	247.4641566
759	247.4448204
760	247.4375123
761	247.4201457
762	247.401171
763	247.3881325
764	247.3719483
765	247.3575178
766	247.3440401
767	247.3270848
768	247.3070077
769	247.2938094
770	247.2709675
771	247.2495804
772	247.2291642
773	247.2133995
774	247.1966639
775	247.1847205
776	247.1653083
777	247.1483484
778	247.1309127
779	247.1156851
780	247.1025027
781	247.085609
782	247.0724816
783	247.054116
784	247.0419033
785	247.025381
786	247.0092562
787	246.9896535
788	246.9741156
789	246.9639754
790	246.9490156
791	246.9279092
792	246.9137657
793	246.9009783
794	246.8838904
795	246.8622734
796	246.8464325
797	246.830133
798	246.8151105
799	246.8021523
800	246.7887087
801	246.7747345
802	246.7565377
803	246.740888
804	246.7254727
805	246.7052439
806	246.6880571
807	246.6701908
808	246.654322
809	246.6351033
810	246.6189758
811	246.6013785
812	246.5867624
813	246.5752593
814	246.5567698
815	246.5427489
816	246.5298722
817	246.5104702
818	246.4944722
819	246.4800411
820	246.4711425
821	246.4551252
822	246.4424582
823	246.4251235
824	246.4090837
825	246.394182
826	246.378938
827	246.3606494
828	246.3438541
829	246.3270255
830	246.3189447
831	246.3012003
832	246.2793996
833	246.2611831
834	246.246457
835	246.2337217
836	246.2211377
837	246.2059146
838	246.1944539
839	246.1753932
840	246.1589044
841	246.1414544
842	246.1211627
843	246.1021123
844	246.0837862
845	246.0682882
846	246.0505883
847	246.0352311
848	246.0213595
849	246.0101443
850	245.9919876
851	245.9784938
852	245.9656332
853	245.944897
854	245.9298905
855	245.9157661
856	245.8981579
857	245.8805772
858	245.8628918
859	245.8441674
860	245.8328969
861	245.8149575
862	245.7976741
863	245.7787961
864	245.7661107
865	245.7549584
866	245.7430505
867	245.7252012
868	245.708995
869	245.690333
870	245.6772814
871	245.6638869
872	245.6442091
873	245.6267651
874	245.6080104
875	245.5961065
876	245.5800837
877	245.5633967
878	245.5509867
879	245.5364571
880	245.5164629
881	245.4995144
882	245.4843058
883	245.4726303
884	245.4515547
885	245.434292
886	245.4163666
887	245.3974546
888	245.3866017
889	245.3712213
890	245.3614943
891	245.3435176
892	245.3234661
893	245.3092615
894	245.2960722
895	245.2826143
896	245.2605648
897	245.2445996
898	245.2306973
899	245.209885
900	245.1906848
901	245.1696376
902	245.1574276
903	245.1391491
904	245.1261214
905	245.1102081
906	245.0925384
907	245.0789998
908	245.0664608
909	245.0536555
910	245.0341269
911	245.0211281
912	245.0042346
913	244.9959342
914	244.9770646
915	244.9658695
916	244.9507075
917	244.9370312
918	244.9254622
919	244.9099749
920	244.8940356
921	244.8825335
922	244.8697088
923	244.8594383
924	244.8504783
925	244.8357949
926	244.8194442
927	244.8123339
928	244.7986647
929	244.7810609
930	244.7661183
931	244.748947
932	244.7311379
933	244.7144521
