iter	Passed	Remaining
0	13	39436
1	18	27413
2	23	23787
3	28	21522
4	33	20032
5	38	19063
6	42	18335
7	47	17835
8	52	17457
9	57	17131
10	61	16778
11	66	16632
12	71	16413
13	76	16229
14	80	16060
15	85	15880
16	89	15758
17	94	15648
18	98	15522
19	103	15467
20	108	15379
21	113	15327
22	118	15393
23	123	15353
24	128	15316
25	133	15267
26	137	15190
27	143	15185
28	147	15131
29	152	15076
30	157	15064
31	161	15010
32	166	14965
33	171	14956
34	176	14936
35	181	14924
36	186	14908
37	190	14864
38	195	14838
39	199	14791
40	204	14761
41	209	14741
42	214	14731
43	219	14721
44	223	14698
45	228	14674
46	233	14669
47	238	14648
48	242	14630
49	248	14641
50	252	14615
51	258	14644
52	264	14679
53	268	14673
54	273	14649
55	278	14624
56	282	14602
57	287	14563
58	291	14540
59	296	14518
60	301	14513
61	306	14509
62	310	14494
63	315	14468
64	320	14455
65	324	14432
66	328	14400
67	333	14378
68	338	14360
69	342	14332
70	346	14304
71	351	14275
72	355	14242
73	359	14231
74	364	14234
75	369	14217
76	374	14202
77	378	14184
78	383	14187
79	387	14157
80	392	14141
81	396	14124
82	401	14102
83	405	14085
84	409	14057
85	414	14046
86	419	14036
87	423	14012
88	427	13987
89	432	13972
90	436	13960
91	441	13956
92	446	13954
93	451	13960
94	456	13947
95	460	13941
96	465	13930
97	470	13924
98	474	13917
99	479	13893
100	483	13877
101	488	13871
102	493	13870
103	497	13851
104	502	13844
105	506	13828
106	511	13818
107	515	13812
108	520	13796
109	524	13784
110	528	13767
111	533	13763
112	538	13751
113	542	13737
114	547	13729
115	552	13725
116	556	13717
117	561	13706
118	565	13691
119	569	13674
120	574	13668
121	579	13670
122	584	13666
123	588	13652
124	593	13639
125	597	13631
126	601	13615
127	606	13612
128	610	13595
129	615	13588
130	620	13582
131	624	13578
132	629	13573
133	634	13573
134	639	13561
135	643	13557
136	648	13549
137	653	13549
138	657	13543
139	662	13529
140	666	13523
141	671	13508
142	675	13499
143	680	13488
144	684	13475
145	688	13467
146	693	13461
147	698	13458
148	703	13453
149	708	13454
150	712	13441
151	716	13428
152	720	13415
153	725	13416
154	730	13414
155	734	13399
156	739	13393
157	743	13377
158	748	13378
159	753	13377
160	757	13365
161	762	13356
162	767	13350
163	771	13349
164	776	13340
165	780	13330
166	785	13323
167	789	13315
168	794	13301
169	798	13295
170	802	13282
171	807	13269
172	811	13255
173	815	13245
174	820	13242
175	824	13231
176	828	13220
177	833	13211
178	838	13210
179	842	13197
180	846	13190
181	851	13180
182	855	13166
183	859	13157
184	864	13152
185	868	13140
186	873	13133
187	876	13117
188	881	13105
189	885	13092
190	889	13088
191	894	13087
192	899	13082
193	904	13077
194	908	13067
195	913	13061
196	917	13059
197	922	13054
198	926	13045
199	931	13036
200	935	13024
201	939	13016
202	944	13012
203	948	13001
204	953	12994
205	957	12988
206	961	12979
207	966	12972
208	970	12963
209	975	12959
210	979	12950
